frame,predicted_count,gold_count,true_positives,false_positives,false_negatives,precision,recall,f1,localization_rmse_px,seed_count,otsu_threshold,high_threshold,low_threshold
269,363,494,314,49,180,0.865014,0.635628,0.732789,3.954034,363,21.179912,25.415894,0.847196
270,362,503,314,48,189,0.867403,0.624254,0.726012,3.811292,362,21.078142,25.293771,0.843126
271,359,512,309,50,203,0.860724,0.603516,0.709529,3.763129,359,20.745453,24.894544,0.829818
272,360,515,312,48,203,0.866667,0.605825,0.713143,3.852462,360,20.854693,25.025631,0.834188
273,361,518,313,48,205,0.867036,0.604247,0.712173,3.949865,361,20.652349,24.782818,0.826094
274,366,524,317,49,207,0.866120,0.604962,0.712360,3.807557,366,20.835834,25.003001,0.833433
275,366,532,313,53,219,0.855191,0.588346,0.697105,3.839684,366,20.773718,24.928462,0.830949
276,372,533,323,49,210,0.868280,0.606004,0.713812,4.001925,372,20.497297,24.596757,0.819892
277,367,537,321,46,216,0.874659,0.597765,0.710177,3.983758,367,20.262249,24.314699,0.810490
278,363,544,313,50,231,0.862259,0.575368,0.690187,3.916851,363,20.301964,24.362357,0.812079
